date,resource,staff_id,count
2020-9,154,45,27
2020-11,129,25,28
2021-6,134,54,96
2021-6,190,77,8
2021-7,137,3,7
2020-7,180,84,97
2021-1,149,34,63
2020-12,195,72,0
2020-4,159,60,14
2020-11,168,10,84
2020-3,173,9,24
2021-2,163,13,24
2020-1,131,77,66
2020-1,123,7,59
2020-2,130,14,96
2020-4,171,43,10
2020-6,121,6,39
2021-4,175,77,36
2020-1,166,63,70
2020-3,145,19,42
2020-6,179,62,51
2020-4,138,76,71
2020-2,123,80,36
2021-6,166,30,93
2021-10,199,75,46
2021-8,132,50,96
2021-10,135,33,71
2020-3,191,27,16
2020-6,196,53,30
2020-11,180,7,38
2020-6,196,70,11
2020-6,185,7,92
2021-10,138,44,48
2021-2,133,37,23
2021-10,141,30,0
2021-9,198,49,12
2021-3,196,84,13
2020-1,147,32,94
2021-9,185,40,56
2021-9,148,62,100
2021-3,181,5,10
2021-9,177,7,98
2020-4,149,71,21
2020-6,133,47,17
2020-8,118,74,36
2021-2,160,11,36
2021-4,181,58,16
2021-2,175,9,35
2021-1,199,49,48
2021-11,146,83,68
2021-10,186,17,75
2020-1,149,34,100
2021-4,181,8,1
2020-2,157,24,78
2020-5,188,75,40
2020-4,198,30,58
2021-6,162,18,79
2021-6,125,23,6
2021-11,119,75,79
2020-6,164,40,25
2020-4,174,9,64
2020-5,194,39,63
2021-12,178,21,59
2021-6,130,73,56
2020-3,157,36,3
2020-8,197,72,76
2021-3,160,55,5
2021-9,178,31,94
2021-10,175,14,38
2020-10,189,49,65
2020-12,154,50,93
2020-2,127,35,96
2021-1,144,69,23
2021-9,164,15,95
2021-9,120,29,62
2020-4,129,1,5
2020-11,145,3,93
2020-11,184,17,90
2020-6,179,60,0
2020-8,160,76,59
2020-2,142,76,51
2020-3,131,45,28
2021-3,174,33,26
2021-10,144,31,21
2020-5,127,9,45
2020-6,142,32,10
2020-2,136,46,47
2020-5,177,12,46
2020-9,179,20,11
2020-1,123,39,22
2020-9,123,65,2
2020-12,187,40,28
2021-9,132,65,12
2020-2,131,2,99
2021-3,126,83,57
2020-3,194,79,2
2020-2,196,21,15
2020-11,124,39,94
2021-12,183,34,23
2021-10,128,51,78
